edge1,edge2,abs_frequency
-63649.0,-63192.56783919598,0.0
-63192.56783919598,-62736.13567839196,0.0
-62736.13567839196,-62279.70351758794,0.0
-62279.70351758794,-61823.27135678392,0.0
-61823.27135678392,-61366.8391959799,0.0
-61366.8391959799,-60910.40703517588,0.0
-60910.40703517588,-60453.97487437186,0.0
-60453.97487437186,-59997.54271356784,0.0
-59997.54271356784,-59541.11055276382,0.0
-59541.11055276382,-59084.6783919598,0.0
-59084.6783919598,-58628.246231155776,0.0
-58628.246231155776,-58171.81407035176,0.0
-58171.81407035176,-57715.38190954774,0.0
-57715.38190954774,-57258.94974874372,0.0
-57258.94974874372,-56802.5175879397,0.0
-56802.5175879397,-56346.08542713568,0.0
-56346.08542713568,-55889.65326633166,0.0
-55889.65326633166,-55433.22110552764,0.0
-55433.22110552764,-54976.788944723616,0.0
-54976.788944723616,-54520.3567839196,0.0
-54520.3567839196,-54063.92462311558,0.0
-54063.92462311558,-53607.49246231156,0.0
-53607.49246231156,-53151.06030150754,0.0
-53151.06030150754,-52694.62814070351,0.0
-52694.62814070351,-52238.195979899494,1.0
-52238.195979899494,-51781.763819095475,2.0
-51781.763819095475,-51325.331658291456,4.0
-51325.331658291456,-50868.89949748744,6.0
-50868.89949748744,-50412.46733668342,10.0
-50412.46733668342,-49956.0351758794,11.0
-49956.0351758794,-49499.60301507538,6.0
-49499.60301507538,-49043.17085427136,10.0
-49043.17085427136,-48586.738693467334,5.0
-48586.738693467334,-48130.306532663315,8.0
-48130.306532663315,-47673.874371859296,5.0
-47673.874371859296,-47217.44221105528,8.0
-47217.44221105528,-46761.01005025126,10.0
-46761.01005025126,-46304.57788944723,8.0
-46304.57788944723,-45848.14572864321,5.0
-45848.14572864321,-45391.71356783919,6.0
-45391.71356783919,-44935.281407035174,22.0
-44935.281407035174,-44478.849246231155,22.0
-44478.849246231155,-44022.417085427136,32.0
-44022.417085427136,-43565.98492462312,37.0
-43565.98492462312,-43109.5527638191,34.0
-43109.5527638191,-42653.12060301508,24.0
-42653.12060301508,-42196.68844221106,22.0
-42196.68844221106,-41740.25628140703,36.0
-41740.25628140703,-41283.824120603014,49.0
-41283.824120603014,-40827.391959798995,52.0
-40827.391959798995,-40370.959798994976,73.0
-40370.959798994976,-39914.52763819095,64.0
-39914.52763819095,-39458.09547738693,88.0
-39458.09547738693,-39001.66331658291,94.0
-39001.66331658291,-38545.23115577889,76.0
-38545.23115577889,-38088.79899497487,91.0
-38088.79899497487,-37632.366834170854,99.0
-37632.366834170854,-37175.934673366835,114.0
-37175.934673366835,-36719.502512562816,89.0
-36719.502512562816,-36263.0703517588,95.0
-36263.0703517588,-35806.63819095478,114.0
-35806.63819095478,-35350.20603015076,123.0
-35350.20603015076,-34893.77386934673,134.0
-34893.77386934673,-34437.34170854271,122.0
-34437.34170854271,-33980.909547738695,108.0
-33980.909547738695,-33524.47738693467,75.0
-33524.47738693467,-33068.04522613065,86.0
-33068.04522613065,-32611.613065326634,88.0
-32611.613065326634,-32155.180904522615,75.0
-32155.180904522615,-31698.748743718592,106.0
-31698.748743718592,-31242.316582914573,94.0
-31242.316582914573,-30785.884422110554,121.0
-30785.884422110554,-30329.452261306535,105.0
-30329.452261306535,-29873.020100502516,141.0
-29873.020100502516,-29416.58793969849,255.0
-29416.58793969849,-28960.15577889447,1552.0
-28960.15577889447,-28503.72361809045,4596.0
-28503.72361809045,-28047.291457286432,7075.0
-28047.291457286432,-27590.859296482413,6579.0
-27590.859296482413,-27134.427135678394,4582.0
-27134.427135678394,-26677.994974874375,1755.0
-26677.994974874375,-26221.56281407035,536.0
-26221.56281407035,-25765.13065326633,496.0
-25765.13065326633,-25308.69849246231,2186.0
-25308.69849246231,-24852.26633165829,7499.0
-24852.26633165829,-24395.834170854272,10881.0
-24395.834170854272,-23939.402010050253,10294.0
-23939.402010050253,-23482.969849246234,4709.0
-23482.969849246234,-23026.537688442208,651.0
-23026.537688442208,-22570.10552763819,404.0
-22570.10552763819,-22113.67336683417,429.0
-22113.67336683417,-21657.24120603015,527.0
-21657.24120603015,-21200.80904522613,1385.0
-21200.80904522613,-20744.376884422112,2580.0
-20744.376884422112,-20287.944723618093,3591.0
-20287.944723618093,-19831.512562814067,3655.0
-19831.512562814067,-19375.080402010048,2591.0
-19375.080402010048,-18918.64824120603,1533.0
-18918.64824120603,-18462.21608040201,684.0
-18462.21608040201,-18005.78391959799,648.0
-18005.78391959799,-17549.35175879397,667.0
-17549.35175879397,-17092.919597989952,758.0
-17092.919597989952,-16636.487437185933,1445.0
-16636.487437185933,-16180.055276381907,4475.0
-16180.055276381907,-15723.623115577888,8446.0
-15723.623115577888,-15267.190954773869,9804.0
-15267.190954773869,-14810.75879396985,5747.0
-14810.75879396985,-14354.32663316583,2116.0
-14354.32663316583,-13897.894472361811,1069.0
-13897.894472361811,-13441.462311557792,1094.0
-13441.462311557792,-12985.030150753766,1972.0
-12985.030150753766,-12528.597989949747,5352.0
-12528.597989949747,-12072.165829145728,12861.0
-12072.165829145728,-11615.733668341709,17981.0
-11615.733668341709,-11159.30150753769,18652.0
-11159.30150753769,-10702.86934673367,10665.0
-10702.86934673367,-10246.437185929652,4495.0
-10246.437185929652,-9790.005025125625,5882.0
-9790.005025125625,-9333.572864321606,12438.0
-9333.572864321606,-8877.140703517587,12927.0
-8877.140703517587,-8420.708542713568,9149.0
-8420.708542713568,-7964.276381909549,12276.0
-7964.276381909549,-7507.84422110553,19264.0
-7507.84422110553,-7051.412060301511,14117.0
-7051.412060301511,-6594.979899497484,4706.0
-6594.979899497484,-6138.547738693465,7793.0
-6138.547738693465,-5682.115577889446,19454.0
-5682.115577889446,-5225.683417085427,29659.0
