edge1,edge2,abs_frequency
-63649.0,-63192.56783919598,0.0
-63192.56783919598,-62736.13567839196,0.0
-62736.13567839196,-62279.70351758794,0.0
-62279.70351758794,-61823.27135678392,0.0
-61823.27135678392,-61366.8391959799,0.0
-61366.8391959799,-60910.40703517588,0.0
-60910.40703517588,-60453.97487437186,0.0
-60453.97487437186,-59997.54271356784,0.0
-59997.54271356784,-59541.11055276382,0.0
-59541.11055276382,-59084.6783919598,0.0
-59084.6783919598,-58628.246231155776,0.0
-58628.246231155776,-58171.81407035176,0.0
-58171.81407035176,-57715.38190954774,0.0
-57715.38190954774,-57258.94974874372,0.0
-57258.94974874372,-56802.5175879397,1.0
-56802.5175879397,-56346.08542713568,1.0
-56346.08542713568,-55889.65326633166,5.0
-55889.65326633166,-55433.22110552764,6.0
-55433.22110552764,-54976.788944723616,10.0
-54976.788944723616,-54520.3567839196,13.0
-54520.3567839196,-54063.92462311558,16.0
-54063.92462311558,-53607.49246231156,23.0
-53607.49246231156,-53151.06030150754,29.0
-53151.06030150754,-52694.62814070351,34.0
-52694.62814070351,-52238.195979899494,34.0
-52238.195979899494,-51781.763819095475,44.0
-51781.763819095475,-51325.331658291456,39.0
-51325.331658291456,-50868.89949748744,45.0
-50868.89949748744,-50412.46733668342,41.0
-50412.46733668342,-49956.0351758794,58.0
-49956.0351758794,-49499.60301507538,58.0
-49499.60301507538,-49043.17085427136,82.0
-49043.17085427136,-48586.738693467334,57.0
-48586.738693467334,-48130.306532663315,91.0
-48130.306532663315,-47673.874371859296,64.0
-47673.874371859296,-47217.44221105528,75.0
-47217.44221105528,-46761.01005025126,69.0
-46761.01005025126,-46304.57788944723,92.0
-46304.57788944723,-45848.14572864321,97.0
-45848.14572864321,-45391.71356783919,110.0
-45391.71356783919,-44935.281407035174,141.0
-44935.281407035174,-44478.849246231155,118.0
-44478.849246231155,-44022.417085427136,135.0
-44022.417085427136,-43565.98492462312,159.0
-43565.98492462312,-43109.5527638191,154.0
-43109.5527638191,-42653.12060301508,202.0
-42653.12060301508,-42196.68844221106,173.0
-42196.68844221106,-41740.25628140703,215.0
-41740.25628140703,-41283.824120603014,207.0
-41283.824120603014,-40827.391959798995,272.0
-40827.391959798995,-40370.959798994976,296.0
-40370.959798994976,-39914.52763819095,256.0
-39914.52763819095,-39458.09547738693,277.0
-39458.09547738693,-39001.66331658291,280.0
-39001.66331658291,-38545.23115577889,255.0
-38545.23115577889,-38088.79899497487,298.0
-38088.79899497487,-37632.366834170854,300.0
-37632.366834170854,-37175.934673366835,355.0
-37175.934673366835,-36719.502512562816,308.0
-36719.502512562816,-36263.0703517588,298.0
-36263.0703517588,-35806.63819095478,318.0
-35806.63819095478,-35350.20603015076,371.0
-35350.20603015076,-34893.77386934673,377.0
-34893.77386934673,-34437.34170854271,347.0
-34437.34170854271,-33980.909547738695,286.0
-33980.909547738695,-33524.47738693467,287.0
-33524.47738693467,-33068.04522613065,351.0
-33068.04522613065,-32611.613065326634,376.0
-32611.613065326634,-32155.180904522615,392.0
-32155.180904522615,-31698.748743718592,417.0
-31698.748743718592,-31242.316582914573,433.0
-31242.316582914573,-30785.884422110554,479.0
-30785.884422110554,-30329.452261306535,440.0
-30329.452261306535,-29873.020100502516,559.0
-29873.020100502516,-29416.58793969849,674.0
-29416.58793969849,-28960.15577889447,1027.0
-28960.15577889447,-28503.72361809045,1345.0
-28503.72361809045,-28047.291457286432,1484.0
-28047.291457286432,-27590.859296482413,1410.0
-27590.859296482413,-27134.427135678394,1278.0
-27134.427135678394,-26677.994974874375,1358.0
-26677.994974874375,-26221.56281407035,1595.0
-26221.56281407035,-25765.13065326633,1715.0
-25765.13065326633,-25308.69849246231,1912.0
-25308.69849246231,-24852.26633165829,2333.0
-24852.26633165829,-24395.834170854272,2616.0
-24395.834170854272,-23939.402010050253,2475.0
-23939.402010050253,-23482.969849246234,2167.0
-23482.969849246234,-23026.537688442208,2114.0
-23026.537688442208,-22570.10552763819,2707.0
-22570.10552763819,-22113.67336683417,3296.0
-22113.67336683417,-21657.24120603015,3222.0
-21657.24120603015,-21200.80904522613,3147.0
-21200.80904522613,-20744.376884422112,3434.0
-20744.376884422112,-20287.944723618093,3887.0
-20287.944723618093,-19831.512562814067,4427.0
-19831.512562814067,-19375.080402010048,4637.0
-19375.080402010048,-18918.64824120603,4881.0
-18918.64824120603,-18462.21608040201,5440.0
-18462.21608040201,-18005.78391959799,5704.0
-18005.78391959799,-17549.35175879397,6162.0
-17549.35175879397,-17092.919597989952,6710.0
-17092.919597989952,-16636.487437185933,7751.0
-16636.487437185933,-16180.055276381907,8447.0
-16180.055276381907,-15723.623115577888,8599.0
-15723.623115577888,-15267.190954773869,9413.0
-15267.190954773869,-14810.75879396985,9261.0
-14810.75879396985,-14354.32663316583,9199.0
-14354.32663316583,-13897.894472361811,9266.0
-13897.894472361811,-13441.462311557792,9354.0
-13441.462311557792,-12985.030150753766,9394.0
-12985.030150753766,-12528.597989949747,9512.0
-12528.597989949747,-12072.165829145728,10439.0
-12072.165829145728,-11615.733668341709,11116.0
-11615.733668341709,-11159.30150753769,11139.0
-11159.30150753769,-10702.86934673367,10804.0
-10702.86934673367,-10246.437185929652,10018.0
-10246.437185929652,-9790.005025125625,9564.0
-9790.005025125625,-9333.572864321606,10094.0
-9333.572864321606,-8877.140703517587,10228.0
-8877.140703517587,-8420.708542713568,10047.0
-8420.708542713568,-7964.276381909549,9910.0
-7964.276381909549,-7507.84422110553,9748.0
-7507.84422110553,-7051.412060301511,10339.0
-7051.412060301511,-6594.979899497484,10033.0
-6594.979899497484,-6138.547738693465,9473.0
-6138.547738693465,-5682.115577889446,10156.0
-5682.115577889446,-5225.683417085427,11111.0
