timestamp	Z-8NTC	Z8NTC_Temp1_sign	Z8NTC_Temp1	Z8NTC_Temp2_sign	Z8NTC_Temp2	Z8NTC_Temp3_sign	Z8NTC_Temp3	IMU_1	IMU_1_Temp	IMU_1_AccX	IMU_1_AccY	IMU_1_AccZ	IMU_1_DpsX	IMU_1_DpsY	IMU_1_DpsZ	IMU_2	IMU_2_Temp	IMU_2_AccX	IMU_2_AccY	IMU_2_AccZ	IMU_2_DpsX	IMU_2_DpsY	IMU_2_DpsZ	NT50	NT50_Slope_long	NT50_Slope_lateral
1544451876.86	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	10	5	56985	1443	831	IMU_2	1538	65535	7	1017	65379	1085	14921	NT50	64511	38366
1544451877.1	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64564	9	6	57055	1365	875	IMU_2	1538	65535	7	1017	65318	1102	14904	NT50	65279	33758
1544451877.33	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	5	56950	1356	840	IMU_2	1538	0	6	1017	65501	988	14886	NT50	65279	33758
1544451877.55	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	5	56818	1417	796	IMU_2	1535	65535	6	1017	65379	988	14825	NT50	64255	42974
1544451877.79	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	6	56871	1417	997	IMU_2	1538	0	7	1016	65431	1137	14799	NT50	64767	38366
1544451878.03	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	7	56818	1338	1006	IMU_2	1538	65535	7	1017	65326	1093	14895	NT50	256	28894
1544451878.29	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	6	56915	1338	988	IMU_2	1538	0	6	1017	65440	997	14913	NT50	65279	47326
1544451878.52	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	10	6	56827	1478	901	IMU_2	1535	0	7	1018	65431	1050	15000	NT50	65535	38366
1544451878.76	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56880	1356	945	IMU_2	1535	65535	7	1017	65291	1015	14878	NT50	65279	38366
1544451878.99	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56801	1338	945	IMU_2	1535	65535	7	1018	65379	1085	14991	NT50	64767	28894
1544451879.21	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56958	1303	953	IMU_2	1535	0	6	1017	65405	988	14913	NT50	64511	33758
1544451879.43	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56915	1373	953	IMU_2	1535	0	7	1017	65414	1006	14878	NT50	65279	33758
1544451879.66	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	7	56967	1435	1041	IMU_2	1535	65535	7	1017	65318	1050	14851	NT50	65535	33758
1544451879.88	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	7	56915	1338	1076	IMU_2	1535	65535	8	1018	65388	1155	15009	NT50	64767	38366
1544451880.11	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	5	56976	1338	743	IMU_2	1538	65535	7	1017	65283	1085	14930	NT50	64511	38366
1544451880.33	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56888	1365	936	IMU_2	1535	0	7	1017	65440	1076	14878	NT50	64255	38366
1544451880.57	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56845	1312	953	IMU_2	1535	65534	8	1018	65221	1163	15070	NT50	65279	38366
1544451880.79	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56801	1373	866	IMU_2	1535	0	7	1017	65440	1111	14939	NT50	64511	28894
1544451881.03	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64564	10	5	57063	1443	787	IMU_2	1535	0	7	1017	65431	1032	14843	NT50	64767	33758
1544451881.29	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56827	1540	918	IMU_2	1538	65535	8	1018	65318	1155	15000	NT50	65279	38366
