timestamp	Z-8NTC	Z8NTC_Temp1_sign	Z8NTC_Temp1	Z8NTC_Temp2_sign	Z8NTC_Temp2	Z8NTC_Temp3_sign	Z8NTC_Temp3	IMU_1	IMU_1_Temp	IMU_1_AccX	IMU_1_AccY	IMU_1_AccZ	IMU_1_DpsX	IMU_1_DpsY	IMU_1_DpsZ	IMU_2	IMU_2_Temp	IMU_2_AccX	IMU_2_AccY	IMU_2_AccZ	IMU_2_DpsX	IMU_2_DpsY	IMU_2_DpsZ	NT50	NT50_Slope_long	NT50_Slope_lateral
1544451867.38	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56888	1373	918	IMU_2	1535	0	6	1017	65423	971	14904	NT50	64511	42974
1544451867.61	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	5	56853	1391	752	IMU_2	1535	0	8	1017	65484	1155	14886	NT50	64511	33758
1544451867.85	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	56967	1452	945	IMU_2	1535	65535	7	1017	65388	1067	14921	NT50	65279	23774
1544451868.07	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	10	5	56775	1443	848	IMU_2	1538	0	7	1018	65379	1111	14983	NT50	65535	42974
1544451868.31	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	5	56915	1347	857	IMU_2	1535	65535	7	1017	65379	1093	14860	NT50	65279	23774
1544451868.55	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	10	6	56862	1478	910	IMU_2	1538	0	6	1017	65405	997	14921	NT50	64767	42974
1544451868.79	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	5	56871	1338	813	IMU_2	1535	65535	7	1017	65423	997	14825	NT50	65279	33758
1544451869.05	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56993	1338	962	IMU_2	1535	0	7	1017	65440	1067	14851	NT50	64511	33758
1544451869.29	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	56915	1487	927	IMU_2	1538	0	7	1018	65405	1050	15035	NT50	65279	33758
1544451869.53	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56958	1373	918	IMU_2	1538	65535	7	1017	65388	1146	14895	NT50	65279	38366
1544451869.76	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	6	56985	1382	892	IMU_2	1538	65535	6	1017	65405	1032	14904	NT50	65279	28894
1544451870.02	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	10	6	56923	1522	866	IMU_2	1538	0	7	1017	65440	1146	14948	NT50	256	33758
1544451870.26	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64564	9	7	57055	1365	1058	IMU_2	1538	65535	7	1017	65353	1128	14913	NT50	65279	33758
1544451870.5	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	5	56932	1408	752	IMU_2	1538	0	7	1017	65396	1023	14886	NT50	64511	28894
1544451870.72	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	6	56915	1417	927	IMU_2	1538	0	7	1017	65449	1015	14921	NT50	64767	42974
1544451870.95	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	5	57011	1373	770	IMU_2	1538	65535	7	1018	65335	1050	14956	NT50	65279	38366
1544451871.19	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64563	9	7	57028	1303	1041	IMU_2	1538	0	7	1018	65440	1041	14956	NT50	65279	38366
1544451871.41	Z-8NTC	0	150	0	151	0	150	IMU_1	1610	64562	9	6	56801	1417	901	IMU_2	1535	0	8	1018	65510	1163	14983	NT50	64511	42974
1544451871.65	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64562	9	6	56880	1373	875	IMU_2	1538	65535	7	1017	65423	1067	14983	NT50	64767	28894
1544451871.87	Z-8NTC	0	150	0	151	0	150	IMU_1	1607	64563	9	5	56967	1312	831	IMU_2	1538	0	6	1017	65396	901	14948	NT50	65535	33758
